movie_id,director
tt0111161,Frank Darabont
tt0068646,Francis Ford Coppola
tt0468569,Christopher Nolan
tt0071562,Francis Ford Coppola
tt0050083,Sidney Lumet
tt0167260,Peter Jackson
tt0108052,Steven Spielberg
tt0110912,Quentin Tarantino
tt0120737,Peter Jackson
tt0060196,Sergio Leone
tt0109830,Robert Zemeckis
tt0167261,Peter Jackson
tt0137523,David Fincher
tt1375666,Christopher Nolan
tt0080684,Irvin Kershner
tt0133093,Lana Wachowski
tt0099685,Martin Scorsese
tt0073486,Milos Forman
tt0816692,Christopher Nolan
tt0114369,David Fincher
tt0038650,Frank Capra
tt0047478,Akira Kurosawa
tt0102926,Jonathan Demme
tt0120815,Steven Spielberg
tt0317248,Fernando Meirelles
tt0120689,Frank Darabont
tt0118799,Roberto Benigni
tt0103064,James Cameron
tt0076759,George Lucas
tt0088763,Robert Zemeckis
tt0245429,Hayao Miyazaki
tt0253474,Roman Polanski
tt6751668,Bong Joon Ho
tt0172495,Ridley Scott
tt0054215,Alfred Hitchcock
tt0110357,Roger Allers
tt0407887,Martin Scorsese
tt9362722,Joaquim Dos Santos
tt0095327,Isao Takahata
tt2582802,Damien Chazelle
tt0120586,Tony Kaye
tt0110413,Luc Besson
tt0482571,Christopher Nolan
tt0056058,Masaki Kobayashi
tt0034583,Michael Curtiz
tt0114814,Bryan Singer
tt1675434,Olivier Nakache
tt0095765,Giuseppe Tornatore
tt15239678,Denis Villeneuve
tt0027977,Charles Chaplin
tt0078748,Ridley Scott
tt0047396,Alfred Hitchcock
tt0064116,Sergio Leone
tt1853728,Quentin Tarantino
tt0021749,Charles Chaplin
tt0078788,Francis Ford Coppola
tt0209144,Christopher Nolan
tt0910970,Andrew Stanton
tt0082971,Steven Spielberg
tt0405094,Florian Henckel von Donnersmarck
tt23849204,Vidhu Vinod Chopra
tt0043014,Billy Wilder
tt4154756,Anthony Russo
tt4633694,Bob Persichetti
tt0050825,Stanley Kubrick
tt0051201,Billy Wilder
tt0081505,Stanley Kubrick
tt0032553,Charles Chaplin
tt0090605,James Cameron
tt0361748,Quentin Tarantino
tt1345836,Christopher Nolan
tt2380307,Lee Unkrich
tt0086879,Milos Forman
tt0114709,John Lasseter
tt0057012,Stanley Kubrick
tt0364569,Park Chan-wook
tt0169547,Sam Mendes
tt4154796,Anthony Russo
tt0082096,Wolfgang Petersen
tt0119217,Gus Van Sant
tt0112573,Mel Gibson
tt0119698,Hayao Miyazaki
tt5311514,Makoto Shinkai
tt0057565,Akira Kurosawa
tt7286456,Todd Phillips
tt1187043,Rajkumar Hirani
tt0087843,Sergio Leone
tt0045152,Stanley Donen
tt8267604,Nadine Labaki
tt0091251,Elem Klimov
tt0180093,Darren Aronofsky
tt0435761,Lee Unkrich
tt0086190,Richard Marquand
tt2106476,Thomas Vinterberg
tt0338013,Michel Gondry
tt0044741,Akira Kurosawa
tt0062622,Stanley Kubrick
tt0105236,Quentin Tarantino
tt0056172,David Lean
tt0053604,Billy Wilder
tt1255953,Denis Villeneuve
tt0086250,Brian De Palma
tt0053125,Alfred Hitchcock
tt0036775,Billy Wilder
tt0033467,Orson Welles
tt0022100,Fritz Lang
tt0052357,Alfred Hitchcock
tt0113277,Michael Mann
tt0093058,Stanley Kubrick
tt15398776,Christopher Nolan
tt1049413,Pete Docter
tt0211915,Jean-Pierre Jeunet
tt0066921,Stanley Kubrick
tt0056592,Robert Mulligan
tt1832382,Asghar Farhadi
tt0070735,George Roy Hill
tt0095016,John McTiernan
tt0097576,Steven Spielberg
tt0986264,Aamir Khan
tt0017136,Fritz Lang
tt0208092,Guy Ritchie
tt8579674,Sam Mendes
tt0119488,Curtis Hanson
tt0040522,Vittorio De Sica
tt0363163,Oliver Hirschbiegel
tt0075314,Martin Scorsese
tt8503618,Thomas Kail
tt5074352,Nitesh Tiwari
tt0993846,Martin Scorsese
tt0372784,Christopher Nolan
tt0059578,Sergio Leone
tt6966692,Peter Farrelly
tt0053291,Billy Wilder
tt0120382,Peter Weir
tt0055031,Stanley Kramer
tt0012349,Charles Chaplin
tt10272386,Florian Zeller
tt1130884,Martin Scorsese
tt0042192,Joseph L. Mankiewicz
tt0469494,Paul Thomas Anderson
tt0107290,Steven Spielberg
tt0112641,Martin Scorsese
tt1745960,Joseph Kosinski
tt0167404,M. Night Shyamalan
tt0089881,Akira Kurosawa
tt0457430,Guillermo del Toro
tt0477348,Ethan Coen
tt0105695,Clint Eastwood
tt0084787,John Carpenter
tt0268978,Ron Howard
tt0266697,Quentin Tarantino
tt0040897,John Huston
tt29623480,Chris Sanders
tt0055630,Akira Kurosawa
tt1392214,Denis Villeneuve
tt0057115,John Sturges
tt0266543,Andrew Stanton
tt0071853,Terry Gilliam
tt0347149,Hayao Miyazaki
tt0080678,David Lynch
tt0042876,Akira Kurosawa
tt0046912,Alfred Hitchcock
tt0031381,Victor Fleming
tt0071315,Roman Polanski
tt1305806,Juan José Campanella
tt0120735,Guy Ritchie
tt2096673,Pete Docter
tt0434409,James McTeigue
tt5027774,Martin McDonagh
tt0081398,Martin Scorsese
tt4729430,Sergio Pablos
tt0117951,Danny Boyle
tt0050212,David Lean
tt0264464,Steven Spielberg
tt0116282,Joel Coen
tt1291584,Gavin O'Connor
tt10872600,Jon Watts
tt1205489,Clint Eastwood
tt1201607,David Yates
tt0405159,Clint Eastwood
tt0096283,Hayao Miyazaki
